Subject,Predicate,Object,Source URL
you,ask,UKRI,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
EPSRC,share,application,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
DSIT,use,information,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
UKRI,handle,data,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
UKRI,introduce,addition,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Lab,represent,opportunity,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
EU,regulate,AI,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Leaders,invite,Commission,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Commission,release,Intelligence,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Commission,publish,guidelines,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AI4Gov,provide,policymakers,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AI4POL,support,regulators,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Farid,call,attention,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
NeurIPS,field,papers,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Farid,say,papers,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
NeurIPS,review,papers,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
NAIRR,bridge,gap,https://www.nsf.gov/focus-areas/ai/nairr
NSF,release,opportunity,https://www.nsf.gov/focus-areas/ai/nairr
NAIRR,advance,leadership,https://www.nsf.gov/focus-areas/ai/nairr
NAIRR,bring,coalition,https://www.nsf.gov/focus-areas/ai/nairr
NASA,provide,datasets,https://www.nsf.gov/focus-areas/ai/nairr
NIST,provide,expertise,https://www.nsf.gov/focus-areas/ai/nairr
ED,furnish,datasets,https://www.nsf.gov/focus-areas/ai/nairr
DOE,provide,allocations,https://www.nsf.gov/focus-areas/ai/nairr
VA,support,pilot,https://www.nsf.gov/focus-areas/ai/nairr
DoD,contribute,expertise,https://www.nsf.gov/focus-areas/ai/nairr
USPTO,provide,access,https://www.nsf.gov/focus-areas/ai/nairr
Anthropic,provide,resources,https://www.nsf.gov/focus-areas/ai/nairr
Cerebras,contribute,access,https://www.nsf.gov/focus-areas/ai/nairr
Groq,provide,access,https://www.nsf.gov/focus-areas/ai/nairr
HPE,provide,licenses,https://www.nsf.gov/focus-areas/ai/nairr
IBM,provide,expertise,https://www.nsf.gov/focus-areas/ai/nairr
Lexset,provide,time,https://www.nsf.gov/focus-areas/ai/nairr
MLCommons,provide,services,https://www.nsf.gov/focus-areas/ai/nairr
NVIDIA,provide,licenses,https://www.nsf.gov/focus-areas/ai/nairr
OpenAI,provide,technology,https://www.nsf.gov/focus-areas/ai/nairr
